序号,统一档位,投递顺序,单位路线,地域大类,省份/区域,城市/地点,公司/单位,岗位方向,薪资/福利,投递入口/渠道,单位属性,原始档位,操作建议,备注
241,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东惠州,中创新航 — 惠州基地,储能电池,待核验,,市场化/上市民企,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
242,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东惠州,宁德时代 — 惠州基地,储能电池产线,待核验,,市场化/上市民企,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
243,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东揭阳,比亚迪储能 — 揭阳基地,储能系统,待核验,,市场化/上市民企,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
244,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东汕尾,广东华电储能,,母公司：华电集团 · 1000万·华电集团,-,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,???? 独立储能电站
245,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东湛江,远景动力 — 湛江基地,储能电池,待核验,,市场化/民企或待核验,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
246,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,小鹏汽车,能量管理/控制,20-30万,campus.xiaopeng.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
247,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,广州储能集团,,母公司：广州产投集团等（市属国企） · 20亿·广州产投等,gdg.com.cn,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,????? 电化学+机械储能
248,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,广州奥鹏能源,BMS软件,12-16万,BOSS直聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
249,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,广汽埃安,VCU/BMS控制,18-25万,campus.gac-nio.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
250,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,广汽能源科技,BMS(广汽+埃安旗下),14-22万,job168.com,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
251,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,智光电气,储能EMS,12-18万,gzzg.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
252,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,智光电气 (002169),储能EMS,12-18万,gzzg.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
253,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州,菲利斯太阳能,BMS软件,14-20万,BOSS直聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
254,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州南沙,广州星翼智慧能源,BMS/EMS(清华系创业),15-25万+期权,猎聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
255,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州天河,广州储能集团,EMS研发(八险二金),12-16万(八险二金),北极星招聘,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
256,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广州白云,菲利斯太阳能(补充),BMS/DSP/嵌入式(2000+人),12-18万+食宿,校招群1060633458,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
257,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,惠州,华阳集团,BMS/控制算法,14-20万,foryougroup.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
258,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,惠州,华阳集团 (002906),BMS/控制算法,14-20万,foryougroup.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
259,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,惠州/深圳,德赛电池,BMS/EMS,14-22万,desaybattery.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
260,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,惠州/深圳,德赛电池 (000049),BMS/EMS,14-22万,desaybattery.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
261,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,杭州/苏州/深圳,艾罗能源 (688717),控制算法/BMS软件,20-30万,xiaozhao@solaxpower.com 科创板,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
262,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,EcoFlow正浩创新,BMS软件,22-35万,jobs.ecoflow.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
263,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,中国资源循环集团新能源科技有限公司,新能源/储能系统集成,-,,央企/央企子公司,P0,先核验是否已有正式校招/社招入口，再决定是否投递。,央企新设，待核验
264,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,中国资源循环集团电池有限公司,电池管理系统/材料研发,-,,央企/央企子公司,P0,先核验是否已有正式校招/社招入口，再决定是否投递。,央企新设，待核验
265,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,中资环新能源循环利用科技（深圳）,电池回收/新能源循环利用,-,,央企/央企子公司,P0,先核验是否已有正式校招/社招入口，再决定是否投递。,央企新设，待核验
266,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,华宝新能,BMS/EMS,15-22万,hellobms.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
267,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,华美兴泰,BMS/PCS/EMS(海外储能),15-25万,BOSS直聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
268,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,南科动力,氢燃料控制,16-24万,BOSS直聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
269,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,南科动力,氢燃料控制算法,16-24万,BOSS直聘搜索,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
270,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,古瑞瓦特,储能控制,13-18万,growatt.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
271,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,和而泰,BMS/控制,12-16万,szhittech.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
272,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,和而泰 (002402),BMS/控制,12-16万,szhittech.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
273,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,安克创新,储能EMS算法工程师,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
274,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,德兰明海(Bluetti),储能BMS/嵌入式(独角兽),18-30万,官网/猎聘,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
275,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,朗科智能,BMS/控制,13-18万,longood.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
276,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,朗科智能 (300543),BMS/控制,13-18万,longood.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
277,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,未蓝新能源(Vilion),储能BMS/电池储能,14-22万,时代储能网,市场化/民企或待核验,P3,先核验是否已有正式校招/社招入口，再决定是否投递。,深圳新增(储能/BMS)
278,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,汇川技术,电机控制/能源算法,22-35万,inovance.zhiye.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
279,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,深圳协能科技,BMS/储能系统,15-25万,BOSS直聘,市场化/民企或待核验,P3,先核验是否已有正式校招/社招入口，再决定是否投递。,深圳新增(储能/BMS)
280,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,深圳南山热电,储能EMS,14-20万,北极星招聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
281,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,深圳天邦达新能源,BMS/锂电池管理,14-22万,BOSS直聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
282,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,深圳易储数智能源,储能BMS软件(C++/嵌入式),18-28万,智联招聘,市场化/民企或待核验,P3,先核验是否已有正式校招/社招入口，再决定是否投递。,深圳新增(储能/BMS)
283,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,深圳科华恒盛,储能EMS/电源系统,14-22万,北极星招聘,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
284,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,科士达,储能EMS,12-18万,kstar.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
285,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,科士达 (002518),储能EMS,12-18万,kstar.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
286,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,科陆电子,储能EMS,13-18万,clou.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
287,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,科陆电子 (002121),储能EMS,13-18万,clou.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
288,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,英威腾,储能控制,13-20万,invt.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
289,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,英威腾 (002334),储能控制,13-20万,invt.com.cn,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
290,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,英飞源,EMS/BMS/算法,20-30万,inflytech.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
291,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,豪鹏科技,BMS软件/AI仿真,22-37万,highpowertech.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
292,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,豪鹏科技 (001283),BMS软件/AI仿真,22-37万,highpowertech.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
293,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,深圳,首航新能源,储能BMS/EMS,13-18万,solarinverter.com.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
294,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,珠海/深圳,长园能源(长园集团),储能EMS/BMS,14-22万,官网校招,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
295,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,阳江/防城港/台山/惠州,中国广核 CGN,核工程、电气、能动、自动化,20-30万,cgn.hotjob.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
296,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,嘉兴,昱能科技,储能EMS,13-18万,ynf-tech.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
297,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,嘉兴,昱能科技 (688348),储能EMS,13-18万,ynf-tech.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
298,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,华塑科技,储能BMS,16-24万,huasucn.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
299,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,华塑科技 (301157),储能BMS,16-24万,huasucn.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
300,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,协能科技(杭州),"BMS算法工程师(TOP第三方BMS, 专精特新小巨人)",18-30万,猎聘/官网,市场化/民企或待核验,P3,先核验是否已有正式校招/社招入口，再决定是否投递。,杭州新增(第三方BMS)
301,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,奥能电源(杭州),储能BMS算法(SOC/SOP/SOH)/13薪,24-36万(13薪),北极星储能招聘,市场化/民企或待核验,P3,先核验是否已有正式校招/社招入口，再决定是否投递。,杭州新增(第三方BMS)
302,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,杭州德创电子,微网EMS/BMS/光伏控制,12-18万,BOSS直聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
303,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,浙江华昱欣科技,智能算法/DSP控制(大华系),15-25万,"大华校招搜""华昱欣""",市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
304,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,科工电子,储能BMS/EMS,18-28万,kegongdz.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
305,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,科工电子 (874963),储能BMS/EMS,18-28万,kegongdz.com → 加入我们,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
306,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,谱地新能源,BMS/嵌入式,12-16万,BOSS/智联,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
307,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,高泰昊能,动力BMS/EMS,18-26万,qualtech.com.cn,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
308,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,高特电子,储能BMS算法,20-30万,cngt.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
309,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州,高特电子 (301669),储能BMS算法,20-30万,cngt.com → 招贤纳士,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
310,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州/上海,正泰电源,储能EMS,14-20万,chintpowersource.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
311,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州/武汉,华昱欣(全国布局),储能算法/DSP控制,15-25万,大华校招系统,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
312,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,杭州/鄂州,南都电源(300068),BMS软件开发/EMS测试,16-26万,官网校招,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
313,N档·新设扩产待核验,6,新设扩产待核验,南方重点,浙江,浙江杭州,三花储能 — 杭州基地,储能热管理/集成,待核验,,市场化/民企或待核验,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
314,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,北京/武汉/南京,航天科工集团,电源/控制/算法,,关注各校就业网,市场化/民企或待核验,体制内·特殊赛道,先核验是否已有正式校招/社招入口，再决定是否投递。,关注各校就业网
315,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,南京,储能EMS软件开发工程师,20-35k,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
316,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,常州,亿晶光电,储能系统,12-16万,egingpv.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
317,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,常州,亿晶光电 (600537),储能系统,12-16万,egingpv.com,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
318,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,武汉/南通,沃太能源(武汉有岗),储能BMS/EMS(专精特新),18-30万,官网校招,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
319,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,江苏太仓,瑞浦兰钧 — 太仓基地,储能电池,待核验,,市场化/民企或待核验,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
320,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,苏州常熟,正力新能,BMS硬件/电子电气,14-18万,campus.zenergy.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
321,N档·新设扩产待核验,6,新设扩产待核验,南方重点,江苏,西安/南京/武汉,经纬恒润,BMS/VCU算法,22-45万,zhaopin.hirain.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
322,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,中国数联物流信息有限公司,数据/IT/数字化,,chinaunidata.com,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
323,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,中国电气装备集团储能科技,,母公司：中国电气装备集团 · 20亿·央企储能头部,campus.51job.com/cnkj2026,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,????? EMS/PCS/BMS
324,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,布鲁珀恩特电力,网侧储能电站EMS工程师,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
325,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,弘正储能,BMS硬件/软件,18-30万,hr.bjx.com.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
326,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,生产一致性工程师（储能方向）,2026校招,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
327,N档·新设扩产待核验,6,新设扩产待核验,南方重点,上海,上海,能建时代新能源科技,,母公司：中国能建+宁德时代（合资） · 6亿·中国能建+宁德时代,ceec.iguopin.com,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,????? 储能投建营
328,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,BMS系统工程师,1.3-2.5万·14薪 / 3-5年,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
329,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,中步擎天新能源,储能系统,10-16万,BOSS直聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
330,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,岚图汽车(东风旗下),新能源BMS/VCU控制,20-35万,校招官网,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
331,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,彼欧(Opmobility),BMS工程师,25-40Kx15薪,猎聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
332,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,楚能新能源,BMS/EMS系统开发,18-36万,cnenergy.com.cn,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
333,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,武汉大全能源技术,电力电子软件/电气,12-22万(13薪),北极星招聘,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
334,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,武汉珠和辰仁,储能系统,10-20万,BOSS直聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
335,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,武汉菱电电控,EMS/电控,15-22万,lingdian.com.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
336,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,武汉菱电电控 (688667),EMS/电控,15-22万,lingdian.com.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
337,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,骆驼集团(武汉),BMS工程师,20-28万,一览电池英才网,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
338,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉,骆驼集团(武汉光谷),BMS工程师-软件,20-28万,一览电池英才网,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
339,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉/全国,华昱欣科技,控制软件/嵌入式,15-22万,2026校招,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
340,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉光谷,巨安储能武汉科技,BMS开发(C++/Linux),18-36万(13薪),BOSS直聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
341,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉光谷,武汉吉兆储能科技,BMS软件(液态金属电池),15-25万,BOSS直聘搜索,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
342,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖北,武汉洪山,君安储能(武汉),BMS/EMS 研发工程师(院士团队),18万+/月,高校就业网,市场化/民企或待核验,体制内·央国企,先核验是否已有正式校招/社招入口，再决定是否投递。,
343,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,三一集团,BMS算法,30-60万,sany.com.cn,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
344,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,三一集团,BMS算法工程师,30-60万,sany.com.cn → 加入三一,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
345,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,华思系统,BMS/EMS嵌入式,15-22万,2026校招,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
346,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,华自科技,储能EMS/算法,15-20万,cshnac.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
347,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,华自科技 (300490),储能EMS/算法,15-20万,cshnac.com,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
348,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,湖南奕航新能源,BMS/EMS,8-15万,一览电池英才网,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
349,N档·新设扩产待核验,6,新设扩产待核验,中南/华东备选,湖南,长沙,红太阳新能源,光储BMS/EMS,18-24万,北极星招聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
350,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,EMS算法研发工程师,35-65k·15薪 / 10年以上,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
351,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,中国电建新型储能研究中心,,,-,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
352,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,中国铁建新能源产业技术研究院,,,bjx.com.cn,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
353,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,中国长安汽车集团有限公司,含电池/新能源,,sasac.gov.cn,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
354,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,中车四方(科创二十所),能量管理算法,20-35万,高校人才网搜索,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
355,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,中车四方科创所,能量管理算法,20-35万,高校人才网,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
356,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,北京,维冠机电,储能EMS软件开发工程师,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
357,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,天津,中国资源循环集团,环保/材料,,sasac.gov.cn,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
358,N档·新设扩产待核验,6,新设扩产待核验,其他国内,京津冀,天津,中汽新能电池科技,,,faw-zhaopin.hotjob.cn,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,????? 电芯/BMS/全固态
